InvoiceDetailID,InvoiceID,TransactionType,VendorNumber,"VendorName",ProductCode,"PassengerName",TicketNumber,PublishedFare,SellingFare,ReferenceFare,LowFare,Tax1,GrossAmount,CommissionAmount,VatOnCommission,"FreeFieldA",TravelDate,ReturnDate,NumberOfDays,"CityCode",ProfileNumber,AddedBy
1,1,5,701,"WESTJET AIRLINES",7,"LEMKE/JOSUE MR",393939,600,600,735,735,135,735,54,0,"",NULL,NULL,1,"",1007,4
2,1,5,701,"WESTJET AIRLINES",7,"SCHULTZ/JOANNIE MR",393939,-600,-600,-735,-735,-135,-735,-54,0,"",NULL,NULL,1,"",1007,4
3,1,2,701,"WESTJET AIRLINES",7,"MARKS/JEANETTE MR",393939,650,650,735,735,135,785,58.5,0,"",07/15/2008 00:00:00,07/20/2008 00:00:00,1,"YVR",1007,4
4,1,5,701,"WESTJET AIRLINES",7,"CARTER/ELEANORA MR",393939,-650,-650,-735,-735,-135,-685,-58.5,0,"",07/15/2008 00:00:00,07/20/2008 00:00:00,1,"YVR",1007,4
5,1,2,701,"WESTJET AIRLINES",7,"KING/EUGENIA MR",39339,800,800,840,840,40,840,72,0,"",NULL,NULL,1,"",1007,4
6,2,2,701,"WESTJET AIRLINES",7,"QUIGLEY/SHERMAN MR",393939,600,600,735,735,135,735,54,0,"",NULL,NULL,1,"",1007,4
7,1,5,701,"WESTJET AIRLINES",7,"ONDRICKA-BAILEY/CANDIDA MR",393939,650,650,735,735,135,685,58.5,0,"",07/15/2008 00:00:00,07/20/2008 00:00:00,1,"YVR",1007,4
8,1,2,701,"WESTJET AIRLINES",7,"KIHN/MARILIE MR",39339,-800,-800,-840,-840,-40,-840,-72,0,"",NULL,NULL,1,"",1007,4
9,1,2,701,"WESTJET AIRLINES",7,"KUTCH/RAHUL MR",393939,-650,-650,-735,-735,-135,-785,-58.5,0,"",07/15/2008 00:00:00,07/20/2008 00:00:00,1,"YVR",1007,4
10,2,2,701,"WESTJET AIRLINES",7,"HESSEL/JOEL MR",393939,-600,-600,-735,-735,-135,-735,-54,0,"",NULL,NULL,1,"",1007,4
11,3,1,10,"AIR CANADA",7,"DOOLEY/JERROD MR",WT19695,1167.8,1167.8,1167.8,1167.8,0,1167.8,0,0,"G",04/01/2008 00:00:00,04/03/2008 00:00:00,1,"YVR",1008,4
12,3,1,1000,"THE SUTTON PLACE HO",10,"BAYER/ELMO MR",WT19695,240,240,120,120,0,240,24,1.2,"",04/01/2008 00:00:00,04/03/2008 00:00:00,2,"YVR",1008,4
13,3,1,1,"MARLIN TRAVEL",18,"ERNSER/KALEY MR",WT19695,40,40,40,40,0,40,0,0,"G",NULL,NULL,1,"",1008,4
26,7,1,10,"AIR CANADA",7,"KUVALIS/TERRY MR",WT19684,820,820,870.8,870.8,50.8,870.8,0,0,"",04/13/2008 00:00:00,05/06/2008 00:00:00,1,"YXY",1010,1
27,7,1,3,"YUKON TRAVEL",18,"GREEN/HARMON MR",SERVICE FEE,40,40,40,40,0,40,0,0,"",NULL,NULL,0,"",1010,1
30,9,1,11,"AIR NORTH",7,"FAY/LEOLA MR",WT19702,403,403,403,403,0,403,0,0,"G",04/03/2008 00:00:00,04/07/2008 00:00:00,0,"YOC",1006,1
31,9,1,2,"WHITEHORSE TRAVEL",18,"RENNER/ESTRELLA MR",WT19702,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1006,1
34,11,1,10,"AIR CANADA",7,"CONROY/CHET MR",WT19700,1118,1118,1118,1118,0,1118,0,0,"G",04/14/2008 00:00:00,04/17/2008 00:00:00,1,"YEG",1002,1
35,11,1,3,"YUKON TRAVEL",18,"LANGOSH/ELISHA MR",WT19700,40,40,40,40,0,40,0,0,"G",NULL,NULL,1,"",1002,1
39,13,1,11,"AIR NORTH",7,"WISOZK/ORION MR",19698,161.67,161.67,161.67,161.67,0,161.67,0,0,"G",04/15/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1002,2
40,13,1,10,"AIR CANADA",7,"TREMBLAY/SIBYL MR",WT19698,216.9,216.9,216.9,216.9,0,216.9,0,0,"G",04/15/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1002,2
41,13,1,1100,"BUDGET",11,"WINTHEISER/OSVALDO MR",17454037CA6,165,165,55,55,0,165,16.5,0.83,"",04/15/2008 00:00:00,04/18/2008 00:00:00,3,"YVR",1002,2
42,13,1,1,"MARLIN TRAVEL",18,"BAHRINGER/BETTYE MR",WT19698,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1002,2
43,14,1,11,"AIR NORTH",7,"SKILES/WILFRID MR",WT19708,623,623,623,623,0,623,0,0,"G",04/02/2008 00:00:00,04/04/2008 00:00:00,0,"YEV",1006,2
44,14,1,3,"YUKON TRAVEL",18,"LEMKE/TROY MR",WT19708,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1006,2
45,15,1,11,"AIR NORTH",7,"STOKES-GOLDNER/CELESTINO MR",WT19698,161.67,161.67,161.67,161.67,0,161.67,0,0,"G",04/15/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1002,2
