InvoiceID,InvoiceNumber,ProfileNumber,"ProfileName","Department",BookingDate,SystemDate,"Description"
1,39339,1007,"EXECUTIVE COUNCIL OFFICE","A-8C",03/27/2008 00:00:00,03/27/2008 14:21:07,"MURRAY/FLETA MR"
2,1,1007,"EXECUTIVE COUNCIL OFFICE","",03/27/2008 00:00:00,03/27/2008 14:59:55,"LEMKE/KENNITH MR"
3,3,1008,"FINANCE","B-1",03/28/2008 00:00:00,03/28/2008 11:06:11,"KOELPIN/ABBIE MR"
7,7,1010,"HEALTH AND SOCIAL SERVICES","2 HOS",03/27/2008 00:00:00,03/28/2008 13:33:22,"RITCHIE/CARA MR"
9,8,1006,"ENVIRONMENT","V-18",03/28/2008 00:00:00,03/28/2008 15:15:31,"SCHUPPE/ANGELINE MR"
11,10,1002,"COMMUNITY SERVICES","C-19",03/28/2008 00:00:00,03/28/2008 15:19:19,"FEEST/DELFINA MR"
13,12,1002,"COMMUNITY SERVICES","C-19",03/28/2008 00:00:00,03/31/2008 13:06:03,"MURRAY/JULIAN MR"
14,13,1006,"ENVIRONMENT","V-5A",03/28/2008 00:00:00,03/31/2008 13:06:12,"BEIER/BRENT MR"
15,14,1002,"COMMUNITY SERVICES","C-19",03/28/2008 00:00:00,03/31/2008 13:06:17,"RITCHIE/TESSIE MR"
16,15,1005,"ENERGY, MINES AND RESOURCES","K-240",03/28/2008 00:00:00,03/31/2008 13:06:26,"DICKENS/CODY MR"
17,16,1005,"ENERGY, MINES AND RESOURCES","K-6",03/28/2008 00:00:00,03/31/2008 13:06:32,"RATKE/AUDRA MR"
18,17,1002,"COMMUNITY SERVICES","C-19",03/28/2008 00:00:00,03/31/2008 13:07:01,"HARTMANN/BRANSON MR"
26,25,1011,"HIGHWAYS AND PUBLIC WORKS","W-4",03/31/2008 00:00:00,04/01/2008 07:32:54,"KERTZMANN/SPENCER MR"
31,30,1021,"YWCHSB CLAIMANT TRVL","WCB CLAIMA",03/31/2008 00:00:00,04/01/2008 07:40:40,"BARTELL/TAVARES MR"
37,36,1006,"ENVIRONMENT","V-5A",03/31/2008 00:00:00,04/01/2008 07:48:33,"DIETRICH/TRENTON MR"
38,37,1011,"HIGHWAYS AND PUBLIC WORKS","W-2",03/31/2008 00:00:00,04/01/2008 07:50:17,"WISOZK/BARRY MR"
44,43,1007,"EXECUTIVE COUNCIL OFFICE","CM-6",03/25/2008 00:00:00,04/01/2008 07:55:07,"MAGGIO/ZITA MR"
45,44,1007,"EXECUTIVE COUNCIL OFFICE","CM-1",03/31/2008 00:00:00,04/01/2008 07:55:38,"REILLY/KATELYN MR"
50,49,1002,"COMMUNITY SERVICES","C-9",04/01/2008 00:00:00,04/02/2008 08:19:18,"HAHN/JARRETT MR"
54,53,1023,"FAMILY AND CHILD SERVICES","H-10",04/01/2008 00:00:00,04/02/2008 09:25:12,"CASPER/JAMIR MR"
55,54,1021,"YWCHSB CLAIMANT TRVL","WCB-CLMT",04/01/2008 00:00:00,04/02/2008 09:25:50,"STREICH/LUCIUS MR"
56,55,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/01/2008 00:00:00,04/02/2008 09:27:17,"EMARD/AMBER MR"
57,56,1002,"COMMUNITY SERVICES","C-9",04/01/2008 00:00:00,04/02/2008 09:28:13,"BERNHARD/LUZ MR"
58,57,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/01/2008 00:00:00,04/02/2008 09:29:22,"SCHINNER/FRIDA MR"
59,58,1005,"ENERGY, MINES AND RESOURCES","K-419",04/01/2008 00:00:00,04/02/2008 09:29:59,"BRADTKE/VIVA MR"
60,59,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/01/2008 00:00:00,04/02/2008 09:31:50,"DIBBERT/JAMMIE MR"
62,61,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/01/2008 00:00:00,04/02/2008 09:33:59,"FERRY/BRENNAN MR"
63,62,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/01/2008 00:00:00,04/02/2008 09:34:32,"LOCKMAN/ADRIENNE MR"
64,63,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/01/2008 00:00:00,04/02/2008 09:35:06,"MOORE/EVERARDO MR"
65,64,1007,"EXECUTIVE COUNCIL OFFICE","CM-4",03/27/2008 00:00:00,04/02/2008 09:35:44,"CRONIN/RYANN MR"
67,66,1004,"EDUCATION","E-1",04/01/2008 00:00:00,04/02/2008 10:16:16,"PARISIAN/KYLEIGH MR"
